User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement,iReady_Placement
106054,School15,4,Reading,461,Grade,1
107824,School11,4,Reading,548,Grade,3
112228,School11,4,Reading,505,Grade,3
113115,School1,4,Reading,484,Grade,2
114513,School10,4,Reading,477,Grade,2
121274,School15,4,Reading,560,Early,4
121498,School12,4,Reading,569,Early,4
123008,School6,4,Reading,578,Early,4
124783,School6,4,Reading,626,Late,4
125474,School16,4,Reading,638,Grade,5
125623,School11,4,Reading,599,Mid,4
126490,School14,4,Reading,545,Grade,3
127128,School5,4,Reading,538,Grade,3
131120,School1,4,Reading,651,Grade,6
134050,School1,4,Reading,644,Grade,6
135309,School11,4,Reading,569,Early,4
135820,School11,4,Reading,600,Mid,4
137240,School10,4,Reading,575,Early,4
143904,School1,4,Reading,480,Grade,2
144768,School14,4,Reading,559,Early,4
145837,School3,4,Reading,491,Grade,2
147492,School1,4,Reading,548,Grade,3
148065,School5,4,Reading,586,Mid,4
149400,School5,4,Reading,451,Grade,1
150109,School5,4,Reading,515,Grade,3
152132,School12,4,Reading,593,Mid,4
153897,School1,4,Reading,556,Grade,3
154253,School6,4,Reading,532,Grade,3
155366,School14,4,Reading,631,Grade,5
157677,School1,4,Reading,568,Early,4
158613,School11,4,Reading,523,Grade,3
158654,School10,4,Reading,545,Grade,3
159133,School1,4,Reading,644,Grade,6
159143,School11,4,Reading,550,Grade,3
165656,School5,4,Reading,582,Mid,4
168822,School10,4,Reading,542,Grade,3
169467,School1,4,Reading,542,Grade,3
173524,School1,4,Reading,520,Grade,3
174711,School1,4,Reading,605,Late,4
175403,School2,4,Reading,528,Grade,3
179204,School12,4,Reading,618,Late,4
184119,School11,4,Reading,626,Late,4
184138,School14,4,Reading,511,Grade,3
185145,School6,4,Reading,534,Grade,3
186245,School12,4,Reading,562,Early,4
188272,School11,4,Reading,513,Grade,3
188434,School5,4,Reading,554,Grade,3
188927,School11,4,Reading,606,Late,4
189402,School1,4,Reading,696,Grade,7
191806,School5,4,Reading,496,Grade,3
192644,School11,4,Reading,717,Grade,7
192662,School6,4,Reading,617,Late,4
193502,School15,4,Reading,560,Early,4
193779,School11,4,Reading,484,Grade,2
194393,School1,4,Reading,577,Early,4
195608,School1,4,Reading,474,Grade,2
196155,School12,4,Reading,529,Grade,3
197100,School12,4,Reading,549,Grade,3
207469,School1,4,Reading,568,Early,4
207946,School14,4,Reading,549,Grade,3
208965,School11,4,Reading,521,Grade,3
209400,School11,4,Reading,574,Early,4
213325,School1,4,Reading,538,Grade,3
219387,School6,4,Reading,549,Grade,3
