User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement
246944,School13,6,Reading,607,Early 6
247377,School13,7,Reading,587,Grade 6
248304,School8,8,Reading,630,Early 8
248688,School4,6,Reading,673,Grade 8
248726,School5,5,Reading,513,Grade 3
248801,School7,6,Reading,679,Grade 8
248898,School8,8,Reading,634,Early 8
249213,School4,6,Reading,451,Grade 1
249387,School12,3,Reading,503,Grade 2
249545,School14,4,Reading,536,Grade 3
250205,School8,6,Reading,638,Mid 6
251257,School7,6,Reading,548,Grade 4
251693,School5,4,Reading,557,Early 4
252850,School5,5,Reading,575,Grade 4
253145,School8,8,Reading,545,Grade 4
253169,School8,7,Reading,643,Mid 7
253275,School1,4,Reading,600,Mid 4
253646,School8,4,Reading,584,Grade 5
254211,School13,6,Reading,502,Grade 3
254448,School8,6,Reading,616,Mid 6
255074,School14,3,Reading,546,Mid 3
255579,School7,8,Reading,654,Mid 8
255905,School6,3,Reading,627,Grade 4
256743,School7,8,Reading,621,Early 8
256768,School13,6,Reading,653,Late 6
256974,School7,8,Reading,728,Grade 11
257768,School3,5,Reading,581,Early 5
257843,School8,6,Reading,645,Late 6
258019,School8,8,Reading,561,Grade 4
258266,School11,4,Reading,560,Early 4
258612,School13,7,Reading,552,Grade 4
258678,School6,4,Reading,607,Late 4
259018,School8,6,Reading,498,Grade 3
259069,School5,5,Reading,601,Early 5
259182,School13,8,Reading,611,Grade 7
259221,School7,6,Reading,659,Grade 7
259422,School15,3,Reading,508,Grade 2
259650,School8,8,Reading,636,Early 8
259762,School7,7,Reading,584,Grade 6
259893,School1,5,Reading,660,Grade 7
260912,School14,5,Reading,582,Early 5
262335,School8,6,Reading,665,Grade 7
262406,School1,5,Reading,647,Grade 6
262722,School13,8,Reading,589,Grade 6
263313,School8,8,Reading,673,Late 8
263574,School7,6,Reading,566,Grade 5
263706,School1,4,Reading,634,Grade 5
263756,School7,7,Reading,704,Grade 10
264100,School11,5,Reading,611,Mid 5
264534,School7,6,Reading,690,Grade 9
264717,School13,6,Reading,534,Grade 3
264757,School12,3,Reading,456,Grade 1
264887,School7,7,Reading,647,Mid 7
265309,School6,4,Reading,553,Grade 3
265332,School7,6,Reading,594,Grade 5
265375,School14,5,Reading,599,Early 5
265764,School12,3,Reading,522,Early 3
266416,School7,7,Reading,656,Late 7
266806,School7,8,Reading,583,Grade 6
266877,School13,6,Reading,552,Grade 4
267207,School5,5,Reading,648,Grade 6
268118,School8,8,Reading,658,Mid 8
268397,School5,4,Reading,566,Early 4
268724,School11,3,Reading,501,Grade 2
268779,School14,3,Reading,542,Early 3
268829,School11,4,Reading,502,Grade 3
269007,School8,8,Reading,698,Grade 9
269921,School7,8,Reading,630,Early 8
270523,School15,5,Reading,615,Mid 5
270622,School8,7,Reading,582,Grade 5
271019,School8,6,Reading,677,Grade 8
271099,School1,4,Reading,556,Grade 3
271286,School13,8,Reading,572,Grade 5
271893,School7,8,Reading,736,Grade 11
272517,School8,8,Reading,631,Early 8
272881,School5,3,Reading,547,Mid 3
273001,School1,3,Reading,543,Early 3
273756,School15,3,Reading,542,Early 3
274183,School8,6,Reading,688,Grade 9
274365,School7,6,Reading,652,Late 6
